srx_accession,file_path,obs_count,disease,diseaseLabel,medianGenesPerCell,medianUmisPerCell,nCellsForQc
SRX22226496,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22226496.h5ad,3044,SARS-CoV-2 infection,COVID-19 / SARS-CoV-2,1133.0,1852.5,3044
SRX23724110,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23724110.h5ad,8925,COVID-19 (SARS-CoV-2 infection),COVID-19 / SARS-CoV-2,1751.0,3352.0,8925
SRX15263317,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX15263317.h5ad,4433,COVID-19,COVID-19 / SARS-CoV-2,4110.0,11010.0,4433
SRX23802728,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23802728.h5ad,18972,SARS-CoV-2 infection (COVID-19),COVID-19 / SARS-CoV-2,1756.0,3239.0,18972
SRX23724123,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23724123.h5ad,6524,SARS-CoV-2 infection,COVID-19 / SARS-CoV-2,3169.5,8892.5,6524
SRX14098306,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX14098306.h5ad,10561,COPD,COPD,1493.0,2833.0,10561
SRX24841614,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX24841614.h5ad,14702,Chronic Obstructive Pulmonary Disease (COPD),COPD,1447.5,3280.0,14702
SRX25038171,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX25038171.h5ad,5965,COPD,COPD,3911.0,13778.0,5965
SRX24841619,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX24841619.h5ad,6104,COPD explant,COPD,2722.0,8254.0,6104
SRX19727434,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19727434.h5ad,2172,moderate COPD,COPD,1313.5,2590.5,2172
SRX25038164,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX25038164.h5ad,3905,chronic obstructive pulmonary disease (COPD),COPD,1587.0,3156.0,3905
SRX17412815,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX17412815.h5ad,2251,COPD,COPD,2312.0,7523.0,2251
SRX17412814,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX17412814.h5ad,2886,COPD,COPD,1081.0,2432.5,2886
SRX24732576,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX24732576.h5ad,3506,COPD,COPD,2066.0,4717.5,3506
SRX19727435,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19727435.h5ad,1465,moderate COPD,COPD,1582.0,3510.0,1465
SRX25038172,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX25038172.h5ad,4774,COPD,COPD,1833.5,4300.5,4774
SRX19727432,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19727432.h5ad,3078,moderate COPD,COPD,1710.0,4349.0,3078
SRX25038165,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX25038165.h5ad,6500,chronic obstructive pulmonary disease (COPD),COPD,1813.5,4775.0,6500
SRX17412820,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX17412820.h5ad,3836,chronic obstructive pulmonary disease (COPD),COPD,1153.0,2525.0,3836
SRX17412809,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX17412809.h5ad,4663,COPD,COPD,1445.0,3481.0,4663
SRX19727428,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19727428.h5ad,3200,Chronic Obstructive Pulmonary Disease (COPD),COPD,1643.5,4435.0,3200
SRX24841617,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX24841617.h5ad,8852,COPD (Chronic Obstructive Pulmonary Disease),COPD,1845.5,4665.5,8852
SRX24841616,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX24841616.h5ad,11915,COPD explant,COPD,1478.0,3132.0,11915
SRX25038166,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX25038166.h5ad,5058,COPD,COPD,1191.0,2386.5,5058
SRX17412813,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX17412813.h5ad,3393,COPD (chronic obstructive pulmonary disease),COPD,1150.0,2379.0,3393
SRX19727429,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19727429.h5ad,4757,mild COPD,COPD,1688.0,3706.0,4757
SRX25038162,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX25038162.h5ad,5239,"lung cancer, COPD",COPD,2352.0,5814.0,5239
SRX24732577,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX24732577.h5ad,2635,COPD,COPD,1904.0,4108.0,2635
SRX17412812,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX17412812.h5ad,3340,COPD,COPD,1405.5,3263.0,3340
