position,srx,status,input_r2_file,output_r2_file,run_id,local_csv,timestamp,duration_seconds,error
43/116,SRX19844825,success,cytetype_pipeline_20260522_175813/SRX19844825_annotated.h5ad,cyteonto_pipeline_20260526_112224/SRX19844825_cyteonto.csv,run-aed99dbb-7f5a-443e-8dfa-06415aebe181,output/cyteonto_pipeline/20260526_121155/results/SRX19844825_cyteonto.csv,2026-05-26 13:36:50,111.98,
44/116,SRX19844836,success,cytetype_pipeline_20260522_175813/SRX19844836_annotated.h5ad,cyteonto_pipeline_20260526_112224/SRX19844836_cyteonto.csv,run-08914d2d-063a-436c-845c-eb48241f8d46,output/cyteonto_pipeline/20260526_121155/results/SRX19844836_cyteonto.csv,2026-05-26 13:38:56,125.35,
45/116,SRX19844837,success,cytetype_pipeline_20260522_175813/SRX19844837_annotated.h5ad,cyteonto_pipeline_20260526_112224/SRX19844837_cyteonto.csv,run-5e99ca0d-e07b-4ebe-9a07-4dc72d5d3c72,output/cyteonto_pipeline/20260526_121155/results/SRX19844837_cyteonto.csv,2026-05-26 13:41:23,147.57,
46/116,SRX19844838,success,cytetype_pipeline_20260522_175813/SRX19844838_annotated.h5ad,cyteonto_pipeline_20260526_112224/SRX19844838_cyteonto.csv,run-b791d8a6-b8ef-4d8d-b93b-003094b20f38,output/cyteonto_pipeline/20260526_121155/results/SRX19844838_cyteonto.csv,2026-05-26 13:43:27,123.70,
47/116,SRX19844839,success,cytetype_pipeline_20260522_175813/SRX19844839_annotated.h5ad,cyteonto_pipeline_20260526_112224/SRX19844839_cyteonto.csv,run-a8c25432-80fe-4e07-8313-9ed6e557fd29,output/cyteonto_pipeline/20260526_121155/results/SRX19844839_cyteonto.csv,2026-05-26 13:45:32,124.99,
48/116,SRX19844846,success,cytetype_pipeline_20260522_175813/SRX19844846_annotated.h5ad,cyteonto_pipeline_20260526_112224/SRX19844846_cyteonto.csv,run-725c6593-30e6-4c39-b01f-4752b7b22569,output/cyteonto_pipeline/20260526_121155/results/SRX19844846_cyteonto.csv,2026-05-26 13:47:23,111.05,
49/116,SRX22226492,success,cytetype_pipeline_20260522_175813/SRX22226492_annotated.h5ad,cyteonto_pipeline_20260526_112224/SRX22226492_cyteonto.csv,run-9092912e-3f42-41cc-bff0-f9452d8a15d6,output/cyteonto_pipeline/20260526_121155/results/SRX22226492_cyteonto.csv,2026-05-26 13:49:31,127.43,
50/116,SRX22226494,success,cytetype_pipeline_20260522_175813/SRX22226494_annotated.h5ad,cyteonto_pipeline_20260526_112224/SRX22226494_cyteonto.csv,run-ac4ee56d-9b35-49ec-bbf7-08f7821554c7,output/cyteonto_pipeline/20260526_121155/results/SRX22226494_cyteonto.csv,2026-05-26 13:51:35,124.87,
51/116,SRX22226496,success,cytetype_pipeline_20260522_175813/SRX22226496_annotated.h5ad,cyteonto_pipeline_20260526_112224/SRX22226496_cyteonto.csv,run-f08f5634-e602-40cc-984f-661dd2b48416,output/cyteonto_pipeline/20260526_121155/results/SRX22226496_cyteonto.csv,2026-05-26 13:53:39,123.89,
52/116,SRX22226500,success,cytetype_pipeline_20260522_175813/SRX22226500_annotated.h5ad,cyteonto_pipeline_20260526_112224/SRX22226500_cyteonto.csv,run-dc6ae70a-11ce-44f0-af5d-941ac87889eb,output/cyteonto_pipeline/20260526_121155/results/SRX22226500_cyteonto.csv,2026-05-26 13:55:32,112.86,
53/116,SRX22226505,success,cytetype_pipeline_20260522_175813/SRX22226505_annotated.h5ad,cyteonto_pipeline_20260526_112224/SRX22226505_cyteonto.csv,run-03aac9fa-0697-4f3c-a841-bd10e0a89ca7,output/cyteonto_pipeline/20260526_121155/results/SRX22226505_cyteonto.csv,2026-05-26 13:57:28,115.82,
54/116,SRX23331471,success,cytetype_pipeline_20260522_175813/SRX23331471_annotated.h5ad,cyteonto_pipeline_20260526_112224/SRX23331471_cyteonto.csv,run-bd0b9bb0-af56-4cf0-99fb-6ab68da45437,output/cyteonto_pipeline/20260526_121155/results/SRX23331471_cyteonto.csv,2026-05-26 13:59:54,145.65,
55/116,SRX23395191,success,cytetype_pipeline_20260522_175813/SRX23395191_annotated.h5ad,cyteonto_pipeline_20260526_112224/SRX23395191_cyteonto.csv,run-eec57976-20b3-471a-8d62-47309d2feef6,output/cyteonto_pipeline/20260526_121155/results/SRX23395191_cyteonto.csv,2026-05-26 14:01:37,102.89,
56/116,SRX23724085,success,cytetype_pipeline_20260522_175813/SRX23724085_annotated.h5ad,cyteonto_pipeline_20260526_112224/SRX23724085_cyteonto.csv,run-cee4c079-631f-49d4-83c5-36418c471ca6,output/cyteonto_pipeline/20260526_121155/results/SRX23724085_cyteonto.csv,2026-05-26 14:03:47,130.84,
57/116,SRX23724088,success,cytetype_pipeline_20260522_175813/SRX23724088_annotated.h5ad,cyteonto_pipeline_20260526_112224/SRX23724088_cyteonto.csv,run-595d48cd-0b4c-4c78-9b83-4d8dbc559405,output/cyteonto_pipeline/20260526_121155/results/SRX23724088_cyteonto.csv,2026-05-26 14:05:55,128.04,
58/116,SRX23724094,success,cytetype_pipeline_20260522_175813/SRX23724094_annotated.h5ad,cyteonto_pipeline_20260526_112224/SRX23724094_cyteonto.csv,run-05ffc56d-84b2-458b-ae16-ac1c015b89a5,output/cyteonto_pipeline/20260526_121155/results/SRX23724094_cyteonto.csv,2026-05-26 14:08:19,143.86,
59/116,SRX23724096,success,cytetype_pipeline_20260522_175813/SRX23724096_annotated.h5ad,cyteonto_pipeline_20260526_112224/SRX23724096_cyteonto.csv,run-59306ac2-263e-4747-8159-af22c8f63a06,output/cyteonto_pipeline/20260526_121155/results/SRX23724096_cyteonto.csv,2026-05-26 14:10:42,142.67,
60/116,SRX23724098,success,cytetype_pipeline_20260522_175813/SRX23724098_annotated.h5ad,cyteonto_pipeline_20260526_112224/SRX23724098_cyteonto.csv,run-d7966ecb-d74a-45bf-8c0e-98a33bea3a3b,output/cyteonto_pipeline/20260526_121155/results/SRX23724098_cyteonto.csv,2026-05-26 14:13:25,162.82,
61/116,SRX23724110,success,cytetype_pipeline_20260522_175813/SRX23724110_annotated.h5ad,cyteonto_pipeline_20260526_112224/SRX23724110_cyteonto.csv,run-4e076642-d5ec-4410-914f-9e8cf9939278,output/cyteonto_pipeline/20260526_121155/results/SRX23724110_cyteonto.csv,2026-05-26 14:15:46,141.45,
62/116,SRX23724122,success,cytetype_pipeline_20260522_175813/SRX23724122_annotated.h5ad,cyteonto_pipeline_20260526_112224/SRX23724122_cyteonto.csv,run-a7f4d90a-2b15-41a0-8052-fea32feeefc6,output/cyteonto_pipeline/20260526_121155/results/SRX23724122_cyteonto.csv,2026-05-26 14:17:51,125.19,
