srxAccession,cluster,nClusterCells,studyAccession,diseaseArea,diseased,nCells,proportion
SRX10048376,45,2,PRJNA669824,IPF / Pulmonary Fibrosis,True,54,0.037037037037037035
SRX10048376,60,5,PRJNA669824,IPF / Pulmonary Fibrosis,True,54,0.09259259259259259
SRX10048376,8,1,PRJNA669824,IPF / Pulmonary Fibrosis,True,54,0.018518518518518517
SRX10048376,9,1,PRJNA669824,IPF / Pulmonary Fibrosis,True,54,0.018518518518518517
SRX10048377,0,1,PRJNA669824,IPF / Pulmonary Fibrosis,,179,0.00558659217877095
SRX10048377,1,4,PRJNA669824,IPF / Pulmonary Fibrosis,,179,0.0223463687150838
SRX10048377,13,2,PRJNA669824,IPF / Pulmonary Fibrosis,,179,0.0111731843575419
SRX10048377,14,8,PRJNA669824,IPF / Pulmonary Fibrosis,,179,0.0446927374301676
SRX10048377,20,6,PRJNA669824,IPF / Pulmonary Fibrosis,,179,0.0335195530726257
SRX10048377,21,7,PRJNA669824,IPF / Pulmonary Fibrosis,,179,0.03910614525139665
SRX10048377,24,1,PRJNA669824,IPF / Pulmonary Fibrosis,,179,0.00558659217877095
SRX10048377,26,13,PRJNA669824,IPF / Pulmonary Fibrosis,,179,0.07262569832402235
SRX10048377,34,7,PRJNA669824,IPF / Pulmonary Fibrosis,,179,0.03910614525139665
SRX10048377,36,23,PRJNA669824,IPF / Pulmonary Fibrosis,,179,0.12849162011173185
SRX10048377,38,7,PRJNA669824,IPF / Pulmonary Fibrosis,,179,0.03910614525139665
SRX10048377,43,2,PRJNA669824,IPF / Pulmonary Fibrosis,,179,0.0111731843575419
SRX10048377,44,1,PRJNA669824,IPF / Pulmonary Fibrosis,,179,0.00558659217877095
SRX10048377,45,4,PRJNA669824,IPF / Pulmonary Fibrosis,,179,0.0223463687150838
SRX10048377,59,1,PRJNA669824,IPF / Pulmonary Fibrosis,,179,0.00558659217877095
SRX10048377,60,5,PRJNA669824,IPF / Pulmonary Fibrosis,,179,0.027932960893854747
SRX10048377,7,5,PRJNA669824,IPF / Pulmonary Fibrosis,,179,0.027932960893854747
SRX10048377,8,64,PRJNA669824,IPF / Pulmonary Fibrosis,,179,0.3575418994413408
SRX10048377,9,18,PRJNA669824,IPF / Pulmonary Fibrosis,,179,0.1005586592178771
SRX10048379,1,6,PRJNA669824,IPF / Pulmonary Fibrosis,True,183,0.03278688524590164
SRX10048379,13,1,PRJNA669824,IPF / Pulmonary Fibrosis,True,183,0.00546448087431694
SRX10048379,14,34,PRJNA669824,IPF / Pulmonary Fibrosis,True,183,0.18579234972677597
SRX10048379,17,1,PRJNA669824,IPF / Pulmonary Fibrosis,True,183,0.00546448087431694
SRX10048379,20,7,PRJNA669824,IPF / Pulmonary Fibrosis,True,183,0.03825136612021858
SRX10048379,21,1,PRJNA669824,IPF / Pulmonary Fibrosis,True,183,0.00546448087431694
SRX10048379,24,4,PRJNA669824,IPF / Pulmonary Fibrosis,True,183,0.02185792349726776
SRX10048379,26,3,PRJNA669824,IPF / Pulmonary Fibrosis,True,183,0.01639344262295082
SRX10048379,34,1,PRJNA669824,IPF / Pulmonary Fibrosis,True,183,0.00546448087431694
SRX10048379,36,26,PRJNA669824,IPF / Pulmonary Fibrosis,True,183,0.14207650273224043
SRX10048379,38,1,PRJNA669824,IPF / Pulmonary Fibrosis,True,183,0.00546448087431694
SRX10048379,4,3,PRJNA669824,IPF / Pulmonary Fibrosis,True,183,0.01639344262295082
SRX10048379,43,17,PRJNA669824,IPF / Pulmonary Fibrosis,True,183,0.09289617486338798
SRX10048379,44,27,PRJNA669824,IPF / Pulmonary Fibrosis,True,183,0.14754098360655737
SRX10048379,45,10,PRJNA669824,IPF / Pulmonary Fibrosis,True,183,0.0546448087431694
SRX10048379,52,1,PRJNA669824,IPF / Pulmonary Fibrosis,True,183,0.00546448087431694
SRX10048379,60,23,PRJNA669824,IPF / Pulmonary Fibrosis,True,183,0.12568306010928962
SRX10048379,8,9,PRJNA669824,IPF / Pulmonary Fibrosis,True,183,0.04918032786885246
SRX10048379,9,8,PRJNA669824,IPF / Pulmonary Fibrosis,True,183,0.04371584699453552
SRX10048381,1,2,PRJNA669824,COVID-19 / SARS-CoV-2,,135,0.014814814814814815
SRX10048381,14,20,PRJNA669824,COVID-19 / SARS-CoV-2,,135,0.14814814814814814
SRX10048381,21,4,PRJNA669824,COVID-19 / SARS-CoV-2,,135,0.02962962962962963
SRX10048381,24,1,PRJNA669824,COVID-19 / SARS-CoV-2,,135,0.007407407407407408
SRX10048381,26,2,PRJNA669824,COVID-19 / SARS-CoV-2,,135,0.014814814814814815
SRX10048381,36,41,PRJNA669824,COVID-19 / SARS-CoV-2,,135,0.3037037037037037
SRX10048381,38,13,PRJNA669824,COVID-19 / SARS-CoV-2,,135,0.0962962962962963
SRX10048381,4,4,PRJNA669824,COVID-19 / SARS-CoV-2,,135,0.02962962962962963
SRX10048381,52,1,PRJNA669824,COVID-19 / SARS-CoV-2,,135,0.007407407407407408
SRX10048381,59,1,PRJNA669824,COVID-19 / SARS-CoV-2,,135,0.007407407407407408
SRX10048381,60,3,PRJNA669824,COVID-19 / SARS-CoV-2,,135,0.022222222222222223
SRX10048381,7,2,PRJNA669824,COVID-19 / SARS-CoV-2,,135,0.014814814814814815
SRX10048381,8,39,PRJNA669824,COVID-19 / SARS-CoV-2,,135,0.28888888888888886
SRX10048381,9,2,PRJNA669824,COVID-19 / SARS-CoV-2,,135,0.014814814814814815
SRX10048384,0,1,PRJNA669824,COVID-19 / SARS-CoV-2,,88,0.011363636363636364
SRX10048384,1,5,PRJNA669824,COVID-19 / SARS-CoV-2,,88,0.056818181818181816
SRX10048384,14,10,PRJNA669824,COVID-19 / SARS-CoV-2,,88,0.11363636363636363
SRX10048384,17,1,PRJNA669824,COVID-19 / SARS-CoV-2,,88,0.011363636363636364
SRX10048384,20,1,PRJNA669824,COVID-19 / SARS-CoV-2,,88,0.011363636363636364
SRX10048384,21,3,PRJNA669824,COVID-19 / SARS-CoV-2,,88,0.03409090909090909
SRX10048384,26,1,PRJNA669824,COVID-19 / SARS-CoV-2,,88,0.011363636363636364
SRX10048384,31,1,PRJNA669824,COVID-19 / SARS-CoV-2,,88,0.011363636363636364
SRX10048384,34,4,PRJNA669824,COVID-19 / SARS-CoV-2,,88,0.045454545454545456
SRX10048384,36,16,PRJNA669824,COVID-19 / SARS-CoV-2,,88,0.18181818181818182
SRX10048384,38,4,PRJNA669824,COVID-19 / SARS-CoV-2,,88,0.045454545454545456
SRX10048384,43,4,PRJNA669824,COVID-19 / SARS-CoV-2,,88,0.045454545454545456
SRX10048384,44,14,PRJNA669824,COVID-19 / SARS-CoV-2,,88,0.1590909090909091
SRX10048384,45,3,PRJNA669824,COVID-19 / SARS-CoV-2,,88,0.03409090909090909
SRX10048384,59,1,PRJNA669824,COVID-19 / SARS-CoV-2,,88,0.011363636363636364
SRX10048384,6,5,PRJNA669824,COVID-19 / SARS-CoV-2,,88,0.056818181818181816
SRX10048384,60,5,PRJNA669824,COVID-19 / SARS-CoV-2,,88,0.056818181818181816
SRX10048384,8,8,PRJNA669824,COVID-19 / SARS-CoV-2,,88,0.09090909090909091
SRX10048384,9,1,PRJNA669824,COVID-19 / SARS-CoV-2,,88,0.011363636363636364
SRX10048385,0,4,PRJNA669824,IPF / Pulmonary Fibrosis,True,124,0.03225806451612903
SRX10048385,1,5,PRJNA669824,IPF / Pulmonary Fibrosis,True,124,0.04032258064516129
SRX10048385,13,3,PRJNA669824,IPF / Pulmonary Fibrosis,True,124,0.024193548387096774
SRX10048385,14,20,PRJNA669824,IPF / Pulmonary Fibrosis,True,124,0.16129032258064516
SRX10048385,20,8,PRJNA669824,IPF / Pulmonary Fibrosis,True,124,0.06451612903225806
SRX10048385,21,1,PRJNA669824,IPF / Pulmonary Fibrosis,True,124,0.008064516129032258
SRX10048385,24,1,PRJNA669824,IPF / Pulmonary Fibrosis,True,124,0.008064516129032258
SRX10048385,26,7,PRJNA669824,IPF / Pulmonary Fibrosis,True,124,0.056451612903225805
SRX10048385,34,6,PRJNA669824,IPF / Pulmonary Fibrosis,True,124,0.04838709677419355
SRX10048385,35,7,PRJNA669824,IPF / Pulmonary Fibrosis,True,124,0.056451612903225805
SRX10048385,36,22,PRJNA669824,IPF / Pulmonary Fibrosis,True,124,0.1774193548387097
SRX10048385,38,3,PRJNA669824,IPF / Pulmonary Fibrosis,True,124,0.024193548387096774
SRX10048385,43,2,PRJNA669824,IPF / Pulmonary Fibrosis,True,124,0.016129032258064516
SRX10048385,44,9,PRJNA669824,IPF / Pulmonary Fibrosis,True,124,0.07258064516129033
SRX10048385,45,3,PRJNA669824,IPF / Pulmonary Fibrosis,True,124,0.024193548387096774
SRX10048385,52,3,PRJNA669824,IPF / Pulmonary Fibrosis,True,124,0.024193548387096774
SRX10048385,59,2,PRJNA669824,IPF / Pulmonary Fibrosis,True,124,0.016129032258064516
SRX10048385,6,3,PRJNA669824,IPF / Pulmonary Fibrosis,True,124,0.024193548387096774
SRX10048385,60,2,PRJNA669824,IPF / Pulmonary Fibrosis,True,124,0.016129032258064516
SRX10048385,8,7,PRJNA669824,IPF / Pulmonary Fibrosis,True,124,0.056451612903225805
SRX10048385,9,6,PRJNA669824,IPF / Pulmonary Fibrosis,True,124,0.04838709677419355
SRX10048388,0,1,PRJNA669824,COVID-19 / SARS-CoV-2,,118,0.00847457627118644
SRX10048388,1,6,PRJNA669824,COVID-19 / SARS-CoV-2,,118,0.05084745762711865
SRX10048388,14,11,PRJNA669824,COVID-19 / SARS-CoV-2,,118,0.09322033898305085
SRX10048388,17,1,PRJNA669824,COVID-19 / SARS-CoV-2,,118,0.00847457627118644
SRX10048388,20,1,PRJNA669824,COVID-19 / SARS-CoV-2,,118,0.00847457627118644
SRX10048388,21,6,PRJNA669824,COVID-19 / SARS-CoV-2,,118,0.05084745762711865
SRX10048388,26,14,PRJNA669824,COVID-19 / SARS-CoV-2,,118,0.11864406779661017
SRX10048388,34,1,PRJNA669824,COVID-19 / SARS-CoV-2,,118,0.00847457627118644
SRX10048388,36,19,PRJNA669824,COVID-19 / SARS-CoV-2,,118,0.16101694915254236
SRX10048388,38,15,PRJNA669824,COVID-19 / SARS-CoV-2,,118,0.1271186440677966
SRX10048388,4,2,PRJNA669824,COVID-19 / SARS-CoV-2,,118,0.01694915254237288
SRX10048388,52,3,PRJNA669824,COVID-19 / SARS-CoV-2,,118,0.025423728813559324
SRX10048388,59,1,PRJNA669824,COVID-19 / SARS-CoV-2,,118,0.00847457627118644
SRX10048388,60,1,PRJNA669824,COVID-19 / SARS-CoV-2,,118,0.00847457627118644
SRX10048388,7,1,PRJNA669824,COVID-19 / SARS-CoV-2,,118,0.00847457627118644
SRX10048388,8,35,PRJNA669824,COVID-19 / SARS-CoV-2,,118,0.2966101694915254
SRX10048389,0,1,PRJNA669824,COVID-19 / SARS-CoV-2,True,112,0.008928571428571428
SRX10048389,1,4,PRJNA669824,COVID-19 / SARS-CoV-2,True,112,0.03571428571428571
SRX10048389,14,12,PRJNA669824,COVID-19 / SARS-CoV-2,True,112,0.10714285714285714
SRX10048389,21,4,PRJNA669824,COVID-19 / SARS-CoV-2,True,112,0.03571428571428571
SRX10048389,24,1,PRJNA669824,COVID-19 / SARS-CoV-2,True,112,0.008928571428571428
SRX10048389,26,7,PRJNA669824,COVID-19 / SARS-CoV-2,True,112,0.0625
SRX10048389,34,2,PRJNA669824,COVID-19 / SARS-CoV-2,True,112,0.017857142857142856
SRX10048389,35,1,PRJNA669824,COVID-19 / SARS-CoV-2,True,112,0.008928571428571428
SRX10048389,36,26,PRJNA669824,COVID-19 / SARS-CoV-2,True,112,0.23214285714285715
SRX10048389,38,16,PRJNA669824,COVID-19 / SARS-CoV-2,True,112,0.14285714285714285
SRX10048389,43,1,PRJNA669824,COVID-19 / SARS-CoV-2,True,112,0.008928571428571428
SRX10048389,44,1,PRJNA669824,COVID-19 / SARS-CoV-2,True,112,0.008928571428571428
SRX10048389,59,3,PRJNA669824,COVID-19 / SARS-CoV-2,True,112,0.026785714285714284
SRX10048389,60,5,PRJNA669824,COVID-19 / SARS-CoV-2,True,112,0.044642857142857144
SRX10048389,7,3,PRJNA669824,COVID-19 / SARS-CoV-2,True,112,0.026785714285714284
SRX10048389,8,25,PRJNA669824,COVID-19 / SARS-CoV-2,True,112,0.22321428571428573
SRX10048390,1,4,PRJNA669824,IPF / Pulmonary Fibrosis,,134,0.029850746268656716
SRX10048390,13,2,PRJNA669824,IPF / Pulmonary Fibrosis,,134,0.014925373134328358
SRX10048390,14,11,PRJNA669824,IPF / Pulmonary Fibrosis,,134,0.08208955223880597
SRX10048390,2,1,PRJNA669824,IPF / Pulmonary Fibrosis,,134,0.007462686567164179
SRX10048390,20,17,PRJNA669824,IPF / Pulmonary Fibrosis,,134,0.12686567164179105
SRX10048390,21,4,PRJNA669824,IPF / Pulmonary Fibrosis,,134,0.029850746268656716
SRX10048390,24,1,PRJNA669824,IPF / Pulmonary Fibrosis,,134,0.007462686567164179
SRX10048390,26,13,PRJNA669824,IPF / Pulmonary Fibrosis,,134,0.09701492537313433
SRX10048390,34,5,PRJNA669824,IPF / Pulmonary Fibrosis,,134,0.03731343283582089
SRX10048390,36,30,PRJNA669824,IPF / Pulmonary Fibrosis,,134,0.22388059701492538
SRX10048390,38,13,PRJNA669824,IPF / Pulmonary Fibrosis,,134,0.09701492537313433
SRX10048390,43,2,PRJNA669824,IPF / Pulmonary Fibrosis,,134,0.014925373134328358
SRX10048390,44,3,PRJNA669824,IPF / Pulmonary Fibrosis,,134,0.022388059701492536
SRX10048390,45,1,PRJNA669824,IPF / Pulmonary Fibrosis,,134,0.007462686567164179
SRX10048390,52,4,PRJNA669824,IPF / Pulmonary Fibrosis,,134,0.029850746268656716
SRX10048390,6,1,PRJNA669824,IPF / Pulmonary Fibrosis,,134,0.007462686567164179
SRX10048390,60,4,PRJNA669824,IPF / Pulmonary Fibrosis,,134,0.029850746268656716
SRX10048390,7,1,PRJNA669824,IPF / Pulmonary Fibrosis,,134,0.007462686567164179
SRX10048390,8,16,PRJNA669824,IPF / Pulmonary Fibrosis,,134,0.11940298507462686
SRX10048390,9,1,PRJNA669824,IPF / Pulmonary Fibrosis,,134,0.007462686567164179
SRX10048391,0,1,PRJNA669824,COVID-19 / SARS-CoV-2,True,239,0.0041841004184100415
SRX10048391,1,3,PRJNA669824,COVID-19 / SARS-CoV-2,True,239,0.012552301255230125
SRX10048391,14,12,PRJNA669824,COVID-19 / SARS-CoV-2,True,239,0.0502092050209205
SRX10048391,17,1,PRJNA669824,COVID-19 / SARS-CoV-2,True,239,0.0041841004184100415
SRX10048391,20,4,PRJNA669824,COVID-19 / SARS-CoV-2,True,239,0.016736401673640166
SRX10048391,24,3,PRJNA669824,COVID-19 / SARS-CoV-2,True,239,0.012552301255230125
SRX10048391,26,7,PRJNA669824,COVID-19 / SARS-CoV-2,True,239,0.029288702928870293
SRX10048391,32,1,PRJNA669824,COVID-19 / SARS-CoV-2,True,239,0.0041841004184100415
SRX10048391,35,1,PRJNA669824,COVID-19 / SARS-CoV-2,True,239,0.0041841004184100415
SRX10048391,36,25,PRJNA669824,COVID-19 / SARS-CoV-2,True,239,0.10460251046025104
SRX10048391,38,11,PRJNA669824,COVID-19 / SARS-CoV-2,True,239,0.04602510460251046
SRX10048391,52,131,PRJNA669824,COVID-19 / SARS-CoV-2,True,239,0.5481171548117155
SRX10048391,59,3,PRJNA669824,COVID-19 / SARS-CoV-2,True,239,0.012552301255230125
SRX10048391,6,2,PRJNA669824,COVID-19 / SARS-CoV-2,True,239,0.008368200836820083
SRX10048391,60,5,PRJNA669824,COVID-19 / SARS-CoV-2,True,239,0.02092050209205021
SRX10048391,7,3,PRJNA669824,COVID-19 / SARS-CoV-2,True,239,0.012552301255230125
SRX10048391,8,17,PRJNA669824,COVID-19 / SARS-CoV-2,True,239,0.07112970711297072
SRX10048391,9,9,PRJNA669824,COVID-19 / SARS-CoV-2,True,239,0.03765690376569038
SRX10048393,1,1,PRJNA669824,COVID-19 / SARS-CoV-2,True,23,0.043478260869565216
SRX10048393,10,1,PRJNA669824,COVID-19 / SARS-CoV-2,True,23,0.043478260869565216
SRX10048393,14,4,PRJNA669824,COVID-19 / SARS-CoV-2,True,23,0.17391304347826086
SRX10048393,20,2,PRJNA669824,COVID-19 / SARS-CoV-2,True,23,0.08695652173913043
SRX10048393,21,1,PRJNA669824,COVID-19 / SARS-CoV-2,True,23,0.043478260869565216
SRX10048393,36,3,PRJNA669824,COVID-19 / SARS-CoV-2,True,23,0.13043478260869565
SRX10048393,38,7,PRJNA669824,COVID-19 / SARS-CoV-2,True,23,0.30434782608695654
SRX10048393,4,1,PRJNA669824,COVID-19 / SARS-CoV-2,True,23,0.043478260869565216
SRX10048393,44,1,PRJNA669824,COVID-19 / SARS-CoV-2,True,23,0.043478260869565216
SRX10048393,60,1,PRJNA669824,COVID-19 / SARS-CoV-2,True,23,0.043478260869565216
SRX10048393,9,1,PRJNA669824,COVID-19 / SARS-CoV-2,True,23,0.043478260869565216
SRX10048395,0,5,PRJNA669824,COVID-19 / SARS-CoV-2,True,91,0.054945054945054944
SRX10048395,1,5,PRJNA669824,COVID-19 / SARS-CoV-2,True,91,0.054945054945054944
SRX10048395,13,1,PRJNA669824,COVID-19 / SARS-CoV-2,True,91,0.01098901098901099
SRX10048395,14,29,PRJNA669824,COVID-19 / SARS-CoV-2,True,91,0.31868131868131866
SRX10048395,20,2,PRJNA669824,COVID-19 / SARS-CoV-2,True,91,0.02197802197802198
SRX10048395,21,2,PRJNA669824,COVID-19 / SARS-CoV-2,True,91,0.02197802197802198
SRX10048395,24,1,PRJNA669824,COVID-19 / SARS-CoV-2,True,91,0.01098901098901099
SRX10048395,26,8,PRJNA669824,COVID-19 / SARS-CoV-2,True,91,0.08791208791208792
SRX10048395,3,1,PRJNA669824,COVID-19 / SARS-CoV-2,True,91,0.01098901098901099
SRX10048395,32,1,PRJNA669824,COVID-19 / SARS-CoV-2,True,91,0.01098901098901099
SRX10048395,35,2,PRJNA669824,COVID-19 / SARS-CoV-2,True,91,0.02197802197802198
SRX10048395,36,17,PRJNA669824,COVID-19 / SARS-CoV-2,True,91,0.18681318681318682
SRX10048395,52,6,PRJNA669824,COVID-19 / SARS-CoV-2,True,91,0.06593406593406594
SRX10048395,59,1,PRJNA669824,COVID-19 / SARS-CoV-2,True,91,0.01098901098901099
SRX10048395,60,2,PRJNA669824,COVID-19 / SARS-CoV-2,True,91,0.02197802197802198
SRX10048395,8,5,PRJNA669824,COVID-19 / SARS-CoV-2,True,91,0.054945054945054944
SRX10048395,9,3,PRJNA669824,COVID-19 / SARS-CoV-2,True,91,0.03296703296703297
SRX10048396,1,2,PRJNA669824,COVID-19 / SARS-CoV-2,True,43,0.046511627906976744
SRX10048396,14,14,PRJNA669824,COVID-19 / SARS-CoV-2,True,43,0.32558139534883723
SRX10048396,34,1,PRJNA669824,COVID-19 / SARS-CoV-2,True,43,0.023255813953488372
SRX10048396,36,14,PRJNA669824,COVID-19 / SARS-CoV-2,True,43,0.32558139534883723
SRX10048396,38,3,PRJNA669824,COVID-19 / SARS-CoV-2,True,43,0.06976744186046512
SRX10048396,4,1,PRJNA669824,COVID-19 / SARS-CoV-2,True,43,0.023255813953488372
SRX10048396,59,2,PRJNA669824,COVID-19 / SARS-CoV-2,True,43,0.046511627906976744
SRX10048396,6,1,PRJNA669824,COVID-19 / SARS-CoV-2,True,43,0.023255813953488372
SRX10048396,9,5,PRJNA669824,COVID-19 / SARS-CoV-2,True,43,0.11627906976744186
SRX10048397,1,2,PRJNA669824,COVID-19 / SARS-CoV-2,True,18,0.1111111111111111
SRX10048397,14,2,PRJNA669824,COVID-19 / SARS-CoV-2,True,18,0.1111111111111111
SRX10048397,21,2,PRJNA669824,COVID-19 / SARS-CoV-2,True,18,0.1111111111111111
SRX10048397,26,1,PRJNA669824,COVID-19 / SARS-CoV-2,True,18,0.05555555555555555
SRX10048397,34,1,PRJNA669824,COVID-19 / SARS-CoV-2,True,18,0.05555555555555555
SRX10048397,36,6,PRJNA669824,COVID-19 / SARS-CoV-2,True,18,0.3333333333333333
SRX10048397,60,2,PRJNA669824,COVID-19 / SARS-CoV-2,True,18,0.1111111111111111
SRX10048397,8,2,PRJNA669824,COVID-19 / SARS-CoV-2,True,18,0.1111111111111111
SRX10075291,1,1,PRJNA701396,Other,False,65,0.015384615384615385
SRX10075291,17,5,PRJNA701396,Other,False,65,0.07692307692307693
SRX10075291,20,9,PRJNA701396,Other,False,65,0.13846153846153847
SRX10075291,21,6,PRJNA701396,Other,False,65,0.09230769230769231
SRX10075291,23,9,PRJNA701396,Other,False,65,0.13846153846153847
SRX10075291,24,1,PRJNA701396,Other,False,65,0.015384615384615385
SRX10075291,31,8,PRJNA701396,Other,False,65,0.12307692307692308
SRX10075291,43,4,PRJNA701396,Other,False,65,0.06153846153846154
SRX10075291,44,2,PRJNA701396,Other,False,65,0.03076923076923077
SRX10075291,45,20,PRJNA701396,Other,False,65,0.3076923076923077
SRX10100445,17,4,PRJNA701930,Other,False,232,0.017241379310344827
SRX10100445,20,18,PRJNA701930,Other,False,232,0.07758620689655173
SRX10100445,21,6,PRJNA701930,Other,False,232,0.02586206896551724
SRX10100445,23,63,PRJNA701930,Other,False,232,0.27155172413793105
SRX10100445,31,57,PRJNA701930,Other,False,232,0.24568965517241378
SRX10100445,43,61,PRJNA701930,Other,False,232,0.2629310344827586
SRX10100445,44,12,PRJNA701930,Other,False,232,0.05172413793103448
SRX10100445,45,10,PRJNA701930,Other,False,232,0.04310344827586207
SRX10100445,52,1,PRJNA701930,Other,False,232,0.004310344827586207
SRX10100446,17,1,PRJNA701930,COVID-19 / SARS-CoV-2,True,97,0.010309278350515464
SRX10100446,20,5,PRJNA701930,COVID-19 / SARS-CoV-2,True,97,0.05154639175257732
SRX10100446,21,6,PRJNA701930,COVID-19 / SARS-CoV-2,True,97,0.061855670103092786
SRX10100446,23,6,PRJNA701930,COVID-19 / SARS-CoV-2,True,97,0.061855670103092786
SRX10100446,31,6,PRJNA701930,COVID-19 / SARS-CoV-2,True,97,0.061855670103092786
SRX10100446,39,1,PRJNA701930,COVID-19 / SARS-CoV-2,True,97,0.010309278350515464
SRX10100446,43,11,PRJNA701930,COVID-19 / SARS-CoV-2,True,97,0.1134020618556701
SRX10100446,44,28,PRJNA701930,COVID-19 / SARS-CoV-2,True,97,0.28865979381443296
SRX10100446,45,29,PRJNA701930,COVID-19 / SARS-CoV-2,True,97,0.29896907216494845
SRX10100446,52,4,PRJNA701930,COVID-19 / SARS-CoV-2,True,97,0.041237113402061855
SRX10100447,17,1,PRJNA701930,COVID-19 / SARS-CoV-2,True,168,0.005952380952380952
SRX10100447,20,12,PRJNA701930,COVID-19 / SARS-CoV-2,True,168,0.07142857142857142
SRX10100447,21,6,PRJNA701930,COVID-19 / SARS-CoV-2,True,168,0.03571428571428571
SRX10100447,23,12,PRJNA701930,COVID-19 / SARS-CoV-2,True,168,0.07142857142857142
SRX10100447,31,20,PRJNA701930,COVID-19 / SARS-CoV-2,True,168,0.11904761904761904
SRX10100447,39,1,PRJNA701930,COVID-19 / SARS-CoV-2,True,168,0.005952380952380952
SRX10100447,43,23,PRJNA701930,COVID-19 / SARS-CoV-2,True,168,0.13690476190476192
SRX10100447,44,45,PRJNA701930,COVID-19 / SARS-CoV-2,True,168,0.26785714285714285
SRX10100447,45,46,PRJNA701930,COVID-19 / SARS-CoV-2,True,168,0.27380952380952384
SRX10100447,52,2,PRJNA701930,COVID-19 / SARS-CoV-2,True,168,0.011904761904761904
SRX10100448,17,5,PRJNA701930,COVID-19 / SARS-CoV-2,True,279,0.017921146953405017
SRX10100448,20,41,PRJNA701930,COVID-19 / SARS-CoV-2,True,279,0.14695340501792115
SRX10100448,21,6,PRJNA701930,COVID-19 / SARS-CoV-2,True,279,0.021505376344086023
SRX10100448,23,8,PRJNA701930,COVID-19 / SARS-CoV-2,True,279,0.02867383512544803
SRX10100448,31,110,PRJNA701930,COVID-19 / SARS-CoV-2,True,279,0.3942652329749104
SRX10100448,39,10,PRJNA701930,COVID-19 / SARS-CoV-2,True,279,0.035842293906810034
SRX10100448,43,41,PRJNA701930,COVID-19 / SARS-CoV-2,True,279,0.14695340501792115
SRX10100448,44,34,PRJNA701930,COVID-19 / SARS-CoV-2,True,279,0.12186379928315412
SRX10100448,45,22,PRJNA701930,COVID-19 / SARS-CoV-2,True,279,0.07885304659498207
SRX10100448,52,2,PRJNA701930,COVID-19 / SARS-CoV-2,True,279,0.007168458781362007
SRX10152685,1,16,PRJNA704098,COPD,True,58,0.27586206896551724
SRX10152685,14,1,PRJNA704098,COPD,True,58,0.017241379310344827
SRX10152685,20,1,PRJNA704098,COPD,True,58,0.017241379310344827
SRX10152685,24,3,PRJNA704098,COPD,True,58,0.05172413793103448
SRX10152685,31,1,PRJNA704098,COPD,True,58,0.017241379310344827
SRX10152685,34,1,PRJNA704098,COPD,True,58,0.017241379310344827
SRX10152685,36,4,PRJNA704098,COPD,True,58,0.06896551724137931
SRX10152685,38,1,PRJNA704098,COPD,True,58,0.017241379310344827
SRX10152685,4,1,PRJNA704098,COPD,True,58,0.017241379310344827
SRX10152685,43,1,PRJNA704098,COPD,True,58,0.017241379310344827
SRX10152685,44,7,PRJNA704098,COPD,True,58,0.1206896551724138
SRX10152685,45,3,PRJNA704098,COPD,True,58,0.05172413793103448
SRX10152685,5,4,PRJNA704098,COPD,True,58,0.06896551724137931
SRX10152685,6,12,PRJNA704098,COPD,True,58,0.20689655172413793
SRX10152685,8,1,PRJNA704098,COPD,True,58,0.017241379310344827
